DayOfYear,Planting Schedule,avg_rain_avg,stnddev_rain_avg,avg_netrad_avg,stnddev_netrad_avg,avg_airtemp_avg,stnddev_airtemp_avg,avg_pr,stddev_pr
123,5/1,0,0,137.1467049,275.9234023,19.266983,25.197773,588.3520279,715.49987
124,5/1,0,0,138.8785666,279.2627288,19.61181034,25.56316219,599.6488716,717.8547279
125,5/1,0,0,141.6219583,282.3802308,20.92930077,25.81389627,599.7051978,715.729759
126,5/1,0,0,138.7285692,276.3802043,21.50714218,25.63128003,595.6900876,712.9446286
127,5/1,0,0,140.5983722,272.7977066,22.2284537,25.53649389,591.4309218,703.3098146
128,5/1,0,0,143.0443801,277.3318289,22.7201713,25.60767165,603.0905389,722.0862222
129,5/1,0,0,140.7385199,273.8025713,23.28474074,25.70740843,590.0071819,704.8214485
130,5/1,0,0,145.5112093,279.1786504,23.10518981,25.68716181,603.9428546,719.2688521
131,5/1,0,0,149.3219634,285.1427651,23.20269444,25.67048736,609.6491662,722.7681079
132,5/1,0,0,146.7954912,278.4833111,22.53474537,25.33624812,594.5174704,712.1174925
133,5/1,0,0,137.0090833,265.823401,23.23571759,25.64310061,580.0298602,693.8406046
134,5/1,0.000348901,0.009407399,132.9411538,262.1460482,23.22310897,25.49678617,577.509169,694.3936431
135,5/1,0.03786372,0.392761958,151.8481759,285.2617666,23.7689779,25.68428748,626.9254949,727.8595783
136,5/1,0,0,122.6846314,228.944754,28.01584936,6.387857239,547.9400401,638.0367238
137,5/15,.0004159,.0094656,145.1752328,272.7946058,23.55781646,25.16889553,596.7527857,705.4687676
138,5/15,0,0,137.7963934,268.340942,23.19157258,25.14196452,572.4153445,695.0145662
139,5/15,0.003641577,0.032941305,121.4562751,249.3949704,22.46295251,24.82354884,498.3279933,639.2890093
140,5/15,0,0,158.3735067,283.3603621,23.82793907,25.14433917,620.539655,729.4411371
141,5/15,0,0,156.6412527,283.3388108,23.16011754,25.39126595,627.1511438,727.8284111
142,5/15,0,0,125.1782322,263.7436494,24.30326454,26.49270716,558.09256,685.9392225
143,5/15,0.037179024,0.387701903,153.2898327,280.8368583,25.29065552,26.2155562,627.6351225,726.2241413
144,5/15,0,0,151.9668387,281.6666995,25.61719086,25.8079262,622.5793665,726.1628066
145,5/15,0,0,152.7245565,280.8384356,25.7610443,25.79734777,626.3783264,726.669868
146,5/15,0,0,139.6658693,261.1145575,25.49984177,25.64193635,578.8425407,668.3310249
147,5/15,0.098348968,0.721992432,147.1455577,273.8239631,25.48611163,26.40438975,599.3156721,696.9142643
148,5/15,0,0,157.0816588,284.1002961,24.88572284,25.93033924,626.4864848,727.4948239
